Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
People Music,7:08,Herbie Hancock,6/21/2020,22,12/16/2020,5,12/28/2020
Smooth (Unreleased instrumental),2:38,J Dilla,6/7/2020,21,2/17/2021,1,01/01/1000
Ooh La La Cali Roots Riddim 2020 (Produced by Collie Buddz),3:36,Jesse Royal,5/20/2020,21,2/17/2021,6,11/11/2020
The Trial,5:19,Pink Floyd,1/10/2020,21,7/2/2020,7,12/12/2020
Life is a Party,4:01,Stick Figure,5/20/2020,21,2/18/2021,11,12/17/2020
In Your Eyes ,5:05,Tribal Seeds,5/22/2020,21,12/21/2020,11,1/8/2021
Satisfy My Soul,4:35,Bob Marley,4/3/2019,20,1/2/2021,7,1/7/2021
Foreplay/Long Time,7:49,Boston,5/2/2019,20,12/11/2020,15,1/3/2021
Dear Mr. Fantasy,7:04,"Crosby, Stills & Nash",9/11/2019,20,1/7/2021,13,12/19/2020
Where we start,6:46,David Gilmour,3/26/2020,20,6/2/2020,4,11/18/2020
Forty Nine Reasons,7:32,Julius Brockington,6/4/2020,20,10/17/2020,14,12/21/2020
Smokin',4:22,Boston,4/1/2019,19,2/18/2021,2,12/28/2020
Love & Reggae,3:36,Collie Buddz,5/20/2020,19,1/9/2021,1,5/25/2020
Show Love,3:12,Collie Buddz,5/20/2020,19,1/3/2021,5,12/20/2020
Sultans Of Swing,5:47,Dire Straits,3/20/2019,19,12/22/2020,8,12/16/2020
4 A.M.,5:21,Herbie Hancock,6/21/2020,19,12/19/2020,1,12/20/2020
Too Much (Instrumental),3:16,J Dilla,6/7/2020,19,1/3/2021,2,2/17/2021
Goodbye Blue Sky,2:47,Pink Floyd,1/10/2020,19,12/14/2020,30,12/28/2020
Sunflower,2:42,"Post Malone, Swae Lee",8/30/2019,19,12/10/2020,14,1/11/2021
Blue Jean Blues (2005 Remaster),4:40,ZZ Top,3/11/2020,19,2/17/2021,10,12/21/2020
Affirmation,6:59,George Benson,6/4/2020,18,2/18/2021,21,12/26/2020
Warm Vibes,4:42,Roy Ayers,6/21/2020,18,12/19/2020,6,12/16/2020
Ride The River (Feat. J.J. Cale),4:36,Eric Clapton,4/3/2019,18,2/21/2021,5,1/9/2021
Knucklehead,7:54,"Grover Washington, Jr",6/9/2020,17,12/16/2020,4,10/8/2020
Let Me Be The One (Instrumental),5:15,J Dilla,6/7/2020,17,2/18/2021,1,01/01/1000
Life (Instrumental),4:40,J Dilla,6/7/2020,17,1/8/2021,6,11/15/2020
Flirtin' With Disaster ,4:59,Molly Hatchet,3/20/2019,17,2/18/2021,9,11/22/2020
Somebody To Love ,5:10,Queen,1/26/2019,17,11/18/2020,11,12/26/2020
Let It Flow (For DR. J),5:51,"Grover Washington, Jr",6/9/2020,16,1/8/2021,6,11/18/2020
Fly With Me ,4:15,Iration,5/20/2020,16,12/28/2020,3,12/9/2020
Turn Me Up Some (Instrumental),2:40,J Dilla,6/7/2020,16,2/17/2021,3,12/20/2020
Life's Been Good,7:56,Joe Walsh,1/26/2019,16,12/28/2020,6,12/9/2020
Since I've Been Loving You (Live at Madison Square Garden 1973,8:02,Led Zeppelin,5/19/2019,16,12/11/2020,9,1/8/2021
Don't Leave Me Now,4:16,Pink Floyd,1/10/2020,16,11/11/2020,25,12/14/2020
Daylight,4:14,RAMP,6/11/2020,16,1/1/2021,1,01/01/1000
Shadow,3:51,Stick Figure,5/20/2020,16,2/17/2021,6,12/21/2020
The Garden,4:58,Tribal Seeds,5/20/2020,16,11/15/2020,9,12/22/2020
It Nice ,2:50,Collie Buddz,5/20/2020,15,10/8/2020,5,12/7/2020
Free Ride,3:08,The Edgar Winter Group,4/1/2019,15,1/1/2021,4,2/12/2020
Sunlight,7:10,Herbie Hancock,6/21/2020,15,9/23/2020,4,12/10/2020
Stay The Course,4:26,Iration,5/20/2020,15,12/17/2020,4,1/1/2021
Day Dream (Instrumental),1:25,J Dilla,6/7/2020,15,12/16/2020,2,10/21/2020
Daylight (Instrumental),1:57,J Dilla,6/7/2020,15,1/11/2021,4,12/26/2020
Sunbeams (Instrumental),3:37,J Dilla,6/7/2020,15,1/8/2021,3,1/8/2021
ALL NIGHT LONG (FROM THE FILM URBAN COWBOY),3:38,Joe Walsh,3/14/2019,15,12/8/2020,7,12/10/2020
Before You Accuse Me (Take A Look At Yourself),3:51,Eric Clapton,4/3/2019,14,2/18/2021,3,10/17/2020
Can't Stop The Love Cali Roots Riddim 2020 (Produced by Collie Buddz),2:52,Gentleman,5/20/2020,14,12/28/2020,6,12/28/2020
Earl,3:09,J Dilla,6/7/2020,14,1/2/2021,2,12/20/2020
It's Your World (Instrumental),8:28,J Dilla,6/7/2020,14,1/8/2021,2,11/12/2020
Microphone master (Instrumental),2:53,J Dilla,6/7/2020,15,2/21/2021,1,01/01/1000
The Harvest,5:12,Tribal Seeds,5/20/2020,14,12/11/2020,2,12/3/2020
Mainstreet,3:43,Bob Seger & The Silver Bullet Band,1/26/2019,13,12/26/2020,7,12/28/2020
The Barn Jams,14:59,David Gilmour,2/3/2020,13,12/28/2020,1,12/28/2020
Papa Don't Take No Mess,13:52,James Brown,6/5/2020,13,1/7/2021,6,10/7/2020
Black Dog,4:56,Led Zeppelin,4/1/2019,13,12/28/2020,10,12/26/2020
X,3:12,Nicky Jam x J. Balvin,8/30/2019,13,12/28/2020,4,12/26/2020
Montara,4:59,Bobby Hutcherson,6/11/2020,12,12/28/2020,10,12/14/2020
Victim Of Love,4:10,Eagles,1/26/2019,12,1/1/2021,8,12/12/2020
Magic Man,5:29,Heart,3/24/2019,12,12/28/2020,7,2/21/2021
Beat 27 (Another Batch),4:09,J Dilla,6/7/2020,12,2/17/2021,3,6/9/2020
Flowers (Instrumental),4:40,J Dilla,6/7/2020,12,1/8/2021,8,12/29/2020
What Is And What Should Never Be,4:40,Led Zeppelin,4/1/2019,12,12/11/2020,7,12/20/2020
Cigarettes And Coffee,3:58,Otis Redding,6/21/2020,12,12/16/2020,6,12/22/2020
Goodbye Cruel World,1:18,Pink Floyd,1/10/2020,12,3/17/2020,13,12/22/2020
Gimme All Your Lovin',4:00,ZZ Top,9/11/2019,12,12/10/2020,14,11/15/2020
Butterfly,11:17,Herbie Hancock,6/21/2020,11,12/16/2020,4,1/8/2021
Call Me The Breeze,5:10,Lynyrd Skynyrd,1/26/2019,11,12/2/2020,9,12/9/2020
